QID,domain,subdomain,question,imageURL,options,answer,explaination
85,Solid State,Solids Imperfections,In which type of point defect are the cations and anions absent in stoichiometric proportions?,0,"['Schottky defect', 'Frenkel defect', 'Impurity defect', 'The given situation does not occur for any point defect.']",a,"A vacancy defect is when an atom, ion or molecule is absent from its position in the lattice. When this occurs for ionic solids, it is called a Schottky defect. Cations and anions are found to be absent in stoichiometric proportion so that the electrical neutrality of the crystal is maintained."
86,Solid State,Solids Imperfections,"Schottky defects are observed in solids with cations and anions of similar sizes. Which of the following compounds, therefore, is NOT likely to have a Schottky defect?",0,"['NaCl', 'AgCl', 'CsCl', 'KCl']",b,There is a considerable size difference between Ag cation and Cl anion. Hence a Frenkel defect is more likely to occur than a Schottky defect.
87,Solid State,Solids Imperfections,Impurity defect is a type of point defect. It can occur __________,0,"['in one way, as substitution impurity defect', 'in one way, as interstitial impurity defect', 'in two ways, as substitution impurity defect or as interstitial impurity defect', 'in two ways, as vacant impurity defect or as interstitial impurity defect']",c,"An impurity defect occurs when a regular ion is replaced by some other type of ion, e.g. Na<sup>+</sup> is replaced by K<sup>+</sup>. If the replacement occurs in the place of the regular cation, it is called a substitution impurity defect. If the replacement occurs in an interstitial position, it is called an interstitial impurity defect."
88,Solid State,Solids Imperfections,Stainless steel is a/an ________ alloy.,0,"['vacant', 'interstitial', 'substitution', 'pure']",b,"Stainless steel is an interstitial alloy. Carbon atoms are introduced into interstitial spaces of iron lattice as an impurity. Further alloying sees the introduction of nickel, chromium in the interstitial spaces."
89,Solid State,Solid Electrical Properties,Metals are good conductors of heat and electricity. This property is conferred by _______ bonds.,0,"['covalent', 'ionic', 'metallic', 'hydrogen']",c,"Metallic bonds are formed between positive metal ions and the sea of delocalized electrons. This bond is stronger than covalent and ionic bonds. Due to the mobility of electrons, conduction of heat and electricity is feasible."
90,Solid State,Solid Electrical Properties,Which of the following properties holds true for a metalloid?,0,"['Poor conductors of heat and electricity', 'Malleable', 'Ductile', 'Non-brittle']",a,"Metalloids have properties intermediate to those of metals and non-metals. They are non-malleable, non-ductile and brittle. They are poor conductors of heat and electricity as compared to metals, but are better conductors than non-metals."
91,Solid State,Solid Electrical Properties,"According to the band theory, increase in number of atoms participating in crystal formation leads to ________ in number of molecular orbitals containing electrons.",0,"['decrease', 'increase', 'no change', 'either increase or decrease, depending upon the size of the atoms']",b,"The band theory assumes that atomic orbitals of the atoms of the crystal combine to form molecular orbitals which are spread over the whole crystal structure. Hence, the number of atoms is directly proportional to the number of molecular orbitals formed."
92,Solid State,Solid Electrical Properties,"For a metallic crystal, which band do the delocalized electrons occupy?",0,"['', 'Conduction band', 'Valence band', 'Both, conduction and valence bands', 'There are no delocalized electrons']",a,"A metallic crystal has valence electrons in the valence band and free moving, delocalized electrons in the conduction band. For a metal, these two bands are very close to each other."
93,Solid State,Solid Electrical Properties,"A substance containing one band completely filled with electrons and other band completely empty, but with a possibility of the empty band becoming populated, behaves as a _________",0,"['metal', 'non-metal', 'semiconductor', 'metal and non-metal']",c,"Semiconductors have completely filled valence bands and completely empty conduction bands. The energy gap between the two bands is relatively small and can be overcome by supplying heat, which excites some electrons to the conduction band, thus allowing the conduction of electricity."
94,Solid State,Solid Electrical Properties,Label the diagram correctly.,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-electrical-properties-q6.png,"['1-Non metal, 2-Semiconductor, 3-Metal', '1-Semiconductor, 2-Non metal, 3-Metal', '1-Metal, 2-Semiconductor, 3-Non metal', '1-Metal, 2-Non metal, 3-Semiconductor']",c,"Energy gap is very less (may even be absent) for metals, very huge for non metals and intermediate (small) for semiconductors."
95,Solid State,Solid Magnetic Properties,Which among the following compounds can show the properties of a Ferroelectric substance?,0,"['BaTiO<sub>3</sub>', 'PbZrO<sub>3</sub>', 'MnO<sub>2</sub>', 'CrO<sub>2</sub>']",a,At the Curie temperature (around 120 ºC) paraelectric BaTiO<sub>3</sub> transforms into a ferroelectric structure. Ferroelectricity is the characteristic of certain substances that possess a spontaneous electric field which can be reversed by applying an external electric field.
96,Solid State,Solid Magnetic Properties,All Ferroelectrics are pyroelectrics.,0,"['True', 'False']", ,"Pyroelectricity is the ability of certain materials to generate a temporary potential difference when heated or cooled. Ferroelectrics form a subset of Pyroelectrics. Hence, all Ferroelectrics are Pyroelectrics."
97,Solid State,Solid Magnetic Properties,All Ferroelectrics are piezo electrics.,0,"['True', 'False']", ,Piezoelectrics are substances whose polarization changes under the influence of stress. Ferro electric substances are considered as Piezoelectric since their polarization can change under the influence of an electric field.
98,Solid State,Solid Magnetic Properties,Which among the following compounds is Antiferroelectric?,0,"['NiO', 'V<sub>2</sub>O<sub>3</sub>', 'PbZrO<sub>3</sub>', 'Fe<sub>3</sub>O<sub>4</sub>']",c,"In the given list: NiO and V<sub>2</sub>O<sub>3</sub> are antiferromagnetic substances, Fe<sub>3</sub>O<sub>4</sub> is Ferrimagnetic and PbZrO<sub>3</sub> is antiferroelectric. Antiferroelectric materials are those materials having ions which can polarize without external field (spontaneous polarization)."
99,Solid State,Solid Magnetic Properties,Which among the following statements is correct?,0,"['NaCl is a paramagnetic substance', 'Paramagnetic substances behave like an insulator', 'Cobalt is an Antiferromagnetic substance', 'On heating, ferrimagnetic substanceslose ferrimagnetism']",d,"On heating, ferrimagnetic substances become paramagnetic and hence, lose their ferromagnetism. NaCl is diamagnetic in nature. Cobalt is a ferromagnetic substance."
100,Solid State,Solid Magnetic Properties,What is the correct order of magnetic strength among the following elements?,0,"['Fe &gt; Co &gt; Ni &gt; Cu', 'Fe &gt; Ni &gt; Co &gt; Cu', 'Cu &gt; Ni &gt; Co &gt; Fe', 'Cu &gt; Fe &gt; Ni &gt; Co']",a,"Magnetic strength depends on the number of unpaired electrons possessed by the element. Iron, Cobalt, Nickel and Copper have 4, 3, 2 and 1unpaired electron respectively. Hence, the correct order of magnetic strength is: Fe &gt; Co &gt; Ni &gt; Cu."
101,Solid State,Solid Magnetic Properties,Which of the following elements have a negative value of magnetic susceptibility?,0,"['Iron', 'Oxygen', 'Aluminium', 'Nitrogen']",d,"Only Diamagnetic substances show a negative value of magnetic susceptibility. In the given list: oxygen and aluminium are paramagnetic, iron is ferromagnetic and nitrogen is diamagnetic. Therefore, Nitrogen has a negative value of magnetic susceptibility."
102,Solid State,Solid Magnetic Properties,Which of the following is not Anti-ferromagnetic?,0,"['MnO', 'Mn<sub>2</sub>O<sub>3</sub>', 'MnO<sub>2</sub>', 'Mn']",d,"MnO, Mn<sub>2</sub>O<sub>3</sub>, and MnO<sub>2</sub> are Anti-ferromagnetic. Mn is paramagnetic in nature. Paramagnetism is when a substance is weakly attracted to a magnetic field."
103,Solid State,Solid Magnetic Properties,In which of the following magnetic properties of elements does the magnetic susceptibility increase on increasing the temperature?,0,"['Paramagnetism', 'Anti-ferromagnetism', 'Ferromagnetism', 'Diamagnetism']",b,"On increasing the temperature, the magnetic susceptibility of diamagnetic substances do not change, that of paramagnetic and ferromagnetic substances decrease and that of antiferromagnetic substances increase."
104,Solid State,Solid Magnetic Properties,"What is the temperature, above which a ferromagnetic substance shows no ferromagnetism called?",0,"['Curie temperature', 'Néel temperature', 'Critical temperature', 'There exists no such temperature']",a,The Néel temperature or magnetic ordering temperature is the temperature above which an antiferromagnetic material becomes paramagnetic. The Critical temperature of a gas is the temperature above which it cannot be liquefied by pressure alone. The temperature above which a ferromagnetic substance shows no ferromagnetism is called Curie temperature.
105,Solutions,Solutions Types,Which of the following is not a solid solution?,0,"['Brass', 'Bronze', 'Hydrated salts', 'Aerated drinks']",d,"A solid solution is a solid-state solution of one or more solutes in a solvent. Brass, bronze, and hydrated salts are examples of solid solutions. Aerated drinks are examples of liquid solutions (gas in liquid)."
106,Solutions,Solutions Types,The solution of mercury with other metals is called amalgam.,0,"['True', 'False']", ,"Alloys of mercury with other metals are called amalgams. An alloy is a type of solid solution (solid in solid). Some important amalgams are zinc amalgam, potassium amalgam, sodium amalgam, aluminium amalgam, and tin amalgam."
107,Solutions,Solutions Types,What is an alloy of copper and zinc called?,0,"['Bronze', 'German silver', 'Brass', 'Solder']",c,"An alloy of copper and zinc is called Brass. German silver is an alloy of copper, zinc and nickel, sometimes also containing lead and tin. Bronze is an alloy of copper and tin. Solder is an alloy of tin, lead and antimony."
108,Solutions,Solutions Types,What is camphor in N<sub>2</sub> gas an example of?,0,"['Solid in liquid solution', 'Liquid in gas solution', 'Solid in gas solution', 'Gas in gas solution']",c," Camphor in N<sub>2</sub> gas is an example of solid in gas gaseous solution. A solution in which the solvent is gaseous is called gaseous solution. Some other examples of gaseous solutions are air (O<sub>2</sub> + N<sub>2</sub>), Iodine vapours in air, humidity in air, etc."
109,Solutions,Solutions Types,Which of the following is not a copper alloy?,0,"['Bronze', 'Stainless steel', 'Brass', 'Gunmetal']",b,"Bronze is an alloy of copper and tin. Stainless steel is an alloy of iron with chromium. It also contains varying amounts of carbon, silicon and manganese. Brass is an alloy of copper and zinc. Gunmetal is an alloy of copper, tin and zinc."
